event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SRI6009,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Borella,6.9177,79.8742,2,"Hiru News",National,"On 21 May 2022, people staged a protest near Borella (Borella, Western) on the Borella-Narahenpita road demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5998,"20 May 2022",2022,1,"Political violence",Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Rioters (Sri Lanka)",,5,55,,144,"South Asia","Sri Lanka",Eastern,Trincomalee,,Trincomalee,8.5711,81.2335,1,"Hiru News",National,"On 20 May 2022, two groups of people clashed with each other at the Trincomalee petrol station in Trincomalee (Trincomalee, Eastern). Both sides were there to get fuel. Police brought the situation under control.",0,"crowd size=no report",1680035153
SRI5973,"20 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","TUCC: Trade Union Coordinating Centre; Labor Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Southern,Matara,,Matara,5.9485,80.5353,1,"News1st (Sri Lanka)",National,"On 20 May 2022, the Trade Union Coordinating Centre staged a protest in Matara (Matara, Southern) in front of the Matara Hospital, demanding the resignation of the President and the new Prime Minister over the lack of fuel, medicine, and gas amid the current economic crisis. They also demanded the arrest of government supporters who attacked people that were protesting at Myna Go Gama and Gota Go Gama protest sites in Colombo on 9 May.",0,"crowd size=no report",1680633903
SRI5969,"20 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Labor Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Katunayake,7.1699,79.8884,1,"News1st (Sri Lanka)",National,"On 20 May 2022, members of the Inter Company Employees Union - Sri Lankan Airlines Branch staged a protest in Katunayake (Katunayake, Gampaha, Western), against the new Prime Minister and over plans to sell public property and get more loans amid the current economic crisis, which they believe would require imposing more tax on the people.",0,"crowd size=no report",1680633903
SRI5994,"20 May 2022",2022,1,Demonstrations,Protests,"Protest with intervention","Protesters (Sri Lanka)",,6,"Police Forces of Sri Lanka (2019-)",,1,16,,144,"South Asia","Sri Lanka",Northern,Vavuniya,,Vavuniya,8.7514,80.4971,1,Virakesari,National,"On 20 May 2022, police intervened and dispersed a group of people who staged a protest in Vavuniya (Vavuniya, Northern) and blocked a main road in the city demanding cooking gas amid the current economic crisis.",0,"crowd size=no report",1680633904
SRI5967,"20 May 2022",2022,2,"Strategic developments","Strategic developments",Arrests,"Police Forces of Sri Lanka (2019-)",,1,"Civilians (Sri Lanka)",,7,17,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,3,Virakesari,National,"Around 20 May 2022 (week of), police arrested 1059 people from across the country (coded as Colombo, Western) in connection with the violence over the ongoing economic crisis on 9 May 2022.",0,,1714518557
SRI5991,"20 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,"Dehiwala-Mount Lavinia",6.8402,79.8712,1,"News1st (Sri Lanka)",National,"On 20 May 2022, people staged a protest in Dehiwala-Mount Lavinia (Dehiwala-Mount Lavinia, Colombo, Western) demanding cooking gas amid the current economic crisis.",0,"crowd size=no report",1719352735
SRI5992,"19 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Kalutara,,Horana,6.7159,80.0626,1,"News1st (Sri Lanka)",National,"On 19 May 2022, people staged a protest in Horana (Horana, Kalutara, Western) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI5966,"19 May 2022",2022,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of Sri Lanka (2019-)",,1,"Civilians (Sri Lanka)",,7,17,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,3,Virakesari,National,"On 19 May 2022, police arrested 161 people from across the country (coded as Colombo, Western) in connection with the violence over the ongoing economic crisis on 9 May 2022.",0,,1714518557
SRI5968,"19 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Labor Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Lankadeepa,National,"On 19 May 2022, a coalition of trade unions staged a protest in Colombo (Colombo, Western) against the plans to sell public property to resolve the current economic crisis. They also demanded the arrest of people involved in the May 9 attack, where supporters of the government attacked peaceful protesters in Galle Face that were staging a protest over the current economic crisis.",0,"crowd size=no report",1714518557
